"X.1","Str","StrNo","ZIP","X","price","size","rooms","Isfloor_0","Isfloor_1","Isfloor_2","Isfloor_3","Isfloor_4","Isfloor_5","Isfloor_6","Isfloor_7_10","Isfloor_11_15","Isfloor_16_20","free_sofort","free_vermietet","Condition_Erstbezug","Condition_ErstbezugnachSanierung","Condition_Renovierungsbedürftig","Condition_Gepflegt","Condition_Modernisiert","Condition_NachVereinbarung","Condition_Neuwertig","Condition_Saniert","Condition_Vollständigrenoviert","renovation_2016","renovation_2013_2105","renovation_2010_2012","renovation_200x","renovation_199x","renovation_1945_1989","renovation_before1945","Type_Dachgeschoss","Type_Erdgeschosswohnung","Type_Etagenwohnung","Type_Hochparterre","Type_Loft","Type_Maisonette","Type_Penthouse","Type_Sonstige","Type_Souterrain","Type_Terrassenwohnung","year_after2017","year2016","year2010_2015","year200x","year199x","year197x_198x","year1945_195x_196x","year190x_1944","year_before1900","HeatingType_Blockheizkraftwerke","HeatingType_ElektroHeizung","HeatingType_Etagenheizung","HeatingType_Fernwärme","HeatingType_Fußbodenheizung","HeatingType_GasHeizung","HeatingType_HolzPelletheizung","HeatingType_Nachtspeicheröfen","HeatingType_Ofenheizung","HeatingType_ÖlHeizung","HeatingType_Wärmepumpe","HeatingType_Zentralheizung","elevator","kitchen","steps","garden","balcony","basement","toilette","parking_Außenstellplatz","parking_Carport","parking_Duplex","parking_Garage","parking_Parkhaus","parking_Tiefgarage","ID","busMin","busRad500","busRad1000","busRad5000","docMin","docRad500","docRad1000","smMin","smRad500","smRad1000","smRad5000","foodMin","foodRad500","foodRad1000","parkMin","parkRad500","parkRad1000","parkRad5000","schoolMin","schoolRad500","schoolRad1000","trainMin","trainRad500","trainRad1000","trainRad5000","airMin","airRad10000","airRad25000","uniMin","uniRad1000","uniRad10000","uniRad25000","collegeMin","collegeRad1000","collegeRad10000","collegeRad25000","artSchoolMin","artSchoolRad1000","artSchoolRad10000","artSchoolRad25000","musicSchoolMin","musicSchoolRad1000","musicSchoolRad10000","musicSchoolRad25000","Ort","Einwohner","Einwohner..","Haushalte","Haushalte..","Haushaltsgröße.ø","Singlehaushalte","Singlehaushalte..","Singlehaushalte.Index","Mehrpersonenhaushalte.ohne.Kinder","Mehrpersonenhaushalte.ohne.Kinder..","Mehrpersonenhaushalte.ohne.Kinder.Index","Mehrpersonenhaushalte.mit.Kindern","Mehrpersonenhaushalte.mit.Kindern..","Mehrpersonenhaushalte.mit.Kindern.Index","Ausländerhaushalte","Ausländerhaushalte..","Ausländerhaushalte.Index","Haushaltsvorstand.bis.unter.30.Jahre","Haushaltsvorstand.bis.unter.30.Jahre..","Haushaltsvorstand.bis.unter.30.Jahre.Index","Haushaltsvorstand.30.bis.unter.40.Jahre","Haushaltsvorstand.30.bis.unter.40.Jahre..","Haushaltsvorstand.30.bis.unter.40.Jahre.Index","Haushaltsvorstand.40.bis.unter.50.Jahre","Haushaltsvorstand.40.bis.unter.50.Jahre..","Haushaltsvorstand.40.bis.unter.50.Jahre.Index","Haushaltsvorstand.50.bis.unter.60.Jahre","Haushaltsvorstand.50.bis.unter.60.Jahre..","Haushaltsvorstand.50.bis.unter.60.Jahre.Index","Haushaltsvorstand.60.Jahre.und.älter","Haushaltsvorstand.60.Jahre.und.älter..","Haushaltsvorstand.60.Jahre.und.älter.Index","Haushaltsvorstand.Alter.ø","Haushaltseinkommen.bis.unter.1100..","Haushaltseinkommen.bis.unter.1100....","Haushaltseinkommen.bis.unter.1100...Index","Haushaltseinkommen.1100.bis.unter.1500..","Haushaltseinkommen.1100.bis.unter.1500....","Haushaltseinkommen.1100.bis.unter.1500...Index","Haushaltseinkommen.1500.bis.unter.2000..","Haushaltseinkommen.1500.bis.unter.2000....","Haushaltseinkommen.1500.bis.unter.2000...Index","Haushaltseinkommen.2000.bis.unter.2600..","Haushaltseinkommen.2000.bis.unter.2600....","Haushaltseinkommen.2000.bis.unter.2600...Index","Haushaltseinkommen.2600.bis.unter.4000..","Haushaltseinkommen.2600.bis.unter.4000....","Haushaltseinkommen.2600.bis.unter.4000...Index","Haushaltseinkommen.4000.bis.unter.7500..","Haushaltseinkommen.4000.bis.unter.7500....","Haushaltseinkommen.4000.bis.unter.7500...Index","Haushaltseinkommen.7500...und.mehr","Haushaltseinkommen.7500...und.mehr..","Haushaltseinkommen.7500...und.mehr.Index","Wohngebäude","Wohn..und.Gewerbegebäude","Gewerbegebäude","X1.2.Familienhäuser","X1.2.Familienhäuser..","X1.2.Familienhäuser.pro.Wohngebäude.Index","X3.6.Familienhäuser","X3.6.Familienhäuser..","X3.6.Familienhäuser.pro.Wohngebäude.Index","X7.19.Familienhäuser","X7.19.Familienhäuser..","X7.19.Familienhäuser.pro.Wohngebäude.Index","X20.und.mehr.Familienhäuser","X20.und.mehr.Familienhäuser..","X20.und.mehr.Familienhäuser.pro.Wohngebäude.Index","AddressIncomplete","lng","lat","lineID"
2449,"Strelitzer Str. ","58",10115,2426,194256,51.12,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,87769881,0.308457014591598,4,20,20,0.167424617582163,20,20,0.229135075532154,13,20,20,0.0616775796470173,20,20,0.254019129963322,1,15,20,0.157240310135289,14,20,0.560415965867893,0,1,17,7.19626771906753,1,3,3.57899423771198,0,0,2,0.702818530398991,0,1,16,3.57899423771198,0,0,2,2.45154549468827,0,0,1,"Berlin-10115",20896,0.255603554,11155,0.280375915,1.873240699,6060,54.32541461,136.1170125,2944,26.39175258,84.64451623,2151,19.28283281,66.7003043,1542,13.82339758,167.2017091,2259,20.25100852,174.1411348,3461,31.02644554,211.1527466,3059,27.42268041,131.7679371,1247,11.17884357,62.98905214,1129,10.12102196,28.81966586,43.89039776,3218,28.8480502,203.240351,2208,19.79381443,168.3256648,1900,17.03272075,117.0085605,1178,10.56028687,73.28031788,1325,11.87808158,51.95989543,1243,11.14298521,59.4149007,83,0.744060959,21.47699254,1055,82,98,70,6.63507109,7.993243397,252,23.88625592,215.9925652,611,57.91469194,1056.960062,122,11.56398104,2551.022357,0,13.3944473,52.5358466,1
2456,"Strelitzer Str. ","56",10115,2417,384000,81.4,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,89813415,0.261519071082519,4,20,20,0.164073791445185,20,20,0.183524765039784,14,20,20,0.0791533976942637,20,20,0.29705808972194,1,13,20,0.109338361600466,13,20,0.608662679595636,0,1,17,7.21883906530906,1,3,3.62229078427118,0,0,2,0.716088522432116,0,1,16,3.62229078427118,0,0,2,2.48904788155098,0,0,1,"Berlin-10115",20896,0.255603554,11155,0.280375915,1.873240699,6060,54.32541461,136.1170125,2944,26.39175258,84.64451623,2151,19.28283281,66.7003043,1542,13.82339758,167.2017091,2259,20.25100852,174.1411348,3461,31.02644554,211.1527466,3059,27.42268041,131.7679371,1247,11.17884357,62.98905214,1129,10.12102196,28.81966586,43.89039776,3218,28.8480502,203.240351,2208,19.79381443,168.3256648,1900,17.03272075,117.0085605,1178,10.56028687,73.28031788,1325,11.87808158,51.95989543,1243,11.14298521,59.4149007,83,0.744060959,21.47699254,1055,82,98,70,6.63507109,7.993243397,252,23.88625592,215.9925652,611,57.91469194,1056.960062,122,11.56398104,2551.022357,0,13.39404,52.53609,2
2457,"Brunnenstr. ","150",10115,2415,233847,46.39,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,89835906,0.193124685976948,5,20,20,0.184045446903696,20,20,0.0361062273778026,16,20,20,0.0361062273778026,20,20,0.475596185690744,3,15,20,0.100340565662132,15,20,0.771890176611653,0,1,18,7.38549406667153,1,3,3.72503734193667,0,0,2,0.871432788306093,0,1,16,3.72503734193667,0,0,2,2.55682833164721,0,0,1,"Berlin-10115",20896,0.255603554,11155,0.280375915,1.873240699,6060,54.32541461,136.1170125,2944,26.39175258,84.64451623,2151,19.28283281,66.7003043,1542,13.82339758,167.2017091,2259,20.25100852,174.1411348,3461,31.02644554,211.1527466,3059,27.42268041,131.7679371,1247,11.17884357,62.98905214,1129,10.12102196,28.81966586,43.89039776,3218,28.8480502,203.240351,2208,19.79381443,168.3256648,1900,17.03272075,117.0085605,1178,10.56028687,73.28031788,1325,11.87808158,51.95989543,1243,11.14298521,59.4149007,83,0.744060959,21.47699254,1055,82,98,70,6.63507109,7.993243397,252,23.88625592,215.9925652,611,57.91469194,1056.960062,122,11.56398104,2551.022357,0,13.39703,52.53641,3
2464,"Chausseestr. ","108/109",10115,2416,554825,68.73,2.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,88327673,0.0939273583715125,9,20,20,0.0534499926922375,17,20,0.204027269022572,5,19,20,0.0298756717803342,20,20,0.23231670960843,7,14,20,0.146079038023923,10,20,0.461855629549222,1,1,17,6.58140464913667,1,3,2.93628973307857,0,0,4,0.866103868298451,0,1,18,2.93628973307857,0,0,4,2.05376460334388,0,0,1,"Berlin-10115",20896,0.255603554,11155,0.280375915,1.873240699,6060,54.32541461,136.1170125,2944,26.39175258,84.64451623,2151,19.28283281,66.7003043,1542,13.82339758,167.2017091,2259,20.25100852,174.1411348,3461,31.02644554,211.1527466,3059,27.42268041,131.7679371,1247,11.17884357,62.98905214,1129,10.12102196,28.81966586,43.89039776,3218,28.8480502,203.240351,2208,19.79381443,168.3256648,1900,17.03272075,117.0085605,1178,10.56028687,73.28031788,1325,11.87808158,51.95989543,1243,11.14298521,59.4149007,83,0.744060959,21.47699254,1055,82,98,70,6.63507109,7.993243397,252,23.88625592,215.9925652,611,57.91469194,1056.960062,122,11.56398104,2551.022357,0,13.3820072,52.5312865,4
2467,"Garten ","92",10115,2423,424800,72,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,90360523,0.0530614144200825,6,20,20,0.226261748850355,20,20,0.274246184881214,10,20,20,0.0428803114134291,20,20,0.0899439036844912,7,16,20,0.026682382658829,16,20,0.0530614144200825,1,3,17,7.01950906280992,1,3,3.1068745420385,0,0,3,0.805667380048017,0,1,18,3.1068745420385,0,0,3,2.0470581526378,0,0,1,"Berlin-10115",20896,0.255603554,11155,0.280375915,1.873240699,6060,54.32541461,136.1170125,2944,26.39175258,84.64451623,2151,19.28283281,66.7003043,1542,13.82339758,167.2017091,2259,20.25100852,174.1411348,3461,31.02644554,211.1527466,3059,27.42268041,131.7679371,1247,11.17884357,62.98905214,1129,10.12102196,28.81966586,43.89039776,3218,28.8480502,203.240351,2208,19.79381443,168.3256648,1900,17.03272075,117.0085605,1178,10.56028687,73.28031788,1325,11.87808158,51.95989543,1243,11.14298521,59.4149007,83,0.744060959,21.47699254,1055,82,98,70,6.63507109,7.993243397,252,23.88625592,215.9925652,611,57.91469194,1056.960062,122,11.56398104,2551.022357,0,13.3890821,52.5320452,5
2470,"Brunnenstr. ","149",10115,2451,668515,101,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,91472123,0.174045943978578,5,20,20,0.188466761049408,20,20,0.0183690955296052,16,20,20,0.0183690955296052,20,20,0.469012357225851,1,15,20,0.0748456087561358,14,20,0.763274817651517,0,1,18,7.35913492197304,1,3,3.72961637826375,0,0,2,0.844776583592174,0,1,16,3.72961637826375,0,0,2,2.56648391714981,0,0,1,"Berlin-10115",20896,0.255603554,11155,0.280375915,1.873240699,6060,54.32541461,136.1170125,2944,26.39175258,84.64451623,2151,19.28283281,66.7003043,1542,13.82339758,167.2017091,2259,20.25100852,174.1411348,3461,31.02644554,211.1527466,3059,27.42268041,131.7679371,1247,11.17884357,62.98905214,1129,10.12102196,28.81966586,43.89039776,3218,28.8480502,203.240351,2208,19.79381443,168.3256648,1900,17.03272075,117.0085605,1178,10.56028687,73.28031788,1325,11.87808158,51.95989543,1243,11.14298521,59.4149007,83,0.744060959,21.47699254,1055,82,98,70,6.63507109,7.993243397,252,23.88625592,215.9925652,611,57.91469194,1056.960062,122,11.56398104,2551.022357,0,13.3966809,52.5365321,6
2474,"Garten ","92",10115,2435,212750,37,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,90360536,0.0530614144200825,6,20,20,0.226261748850355,20,20,0.274246184881214,10,20,20,0.0428803114134291,20,20,0.0899439036844912,7,16,20,0.026682382658829,16,20,0.0530614144200825,1,3,17,7.01950906280992,1,3,3.1068745420385,0,0,3,0.805667380048017,0,1,18,3.1068745420385,0,0,3,2.0470581526378,0,0,1,"Berlin-10115",20896,0.255603554,11155,0.280375915,1.873240699,6060,54.32541461,136.1170125,2944,26.39175258,84.64451623,2151,19.28283281,66.7003043,1542,13.82339758,167.2017091,2259,20.25100852,174.1411348,3461,31.02644554,211.1527466,3059,27.42268041,131.7679371,1247,11.17884357,62.98905214,1129,10.12102196,28.81966586,43.89039776,3218,28.8480502,203.240351,2208,19.79381443,168.3256648,1900,17.03272075,117.0085605,1178,10.56028687,73.28031788,1325,11.87808158,51.95989543,1243,11.14298521,59.4149007,83,0.744060959,21.47699254,1055,82,98,70,6.63507109,7.993243397,252,23.88625592,215.9925652,611,57.91469194,1056.960062,122,11.56398104,2551.022357,0,13.3890821,52.5320452,7
2475,"Brunnenstr. ","150",10115,2450,278678,54.36,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,91471971,0.193124685976948,5,20,20,0.184045446903696,20,20,0.0361062273778026,16,20,20,0.0361062273778026,20,20,0.475596185690744,3,15,20,0.100340565662132,15,20,0.771890176611653,0,1,18,7.38549406667153,1,3,3.72503734193667,0,0,2,0.871432788306093,0,1,16,3.72503734193667,0,0,2,2.55682833164721,0,0,1,"Berlin-10115",20896,0.255603554,11155,0.280375915,1.873240699,6060,54.32541461,136.1170125,2944,26.39175258,84.64451623,2151,19.28283281,66.7003043,1542,13.82339758,167.2017091,2259,20.25100852,174.1411348,3461,31.02644554,211.1527466,3059,27.42268041,131.7679371,1247,11.17884357,62.98905214,1129,10.12102196,28.81966586,43.89039776,3218,28.8480502,203.240351,2208,19.79381443,168.3256648,1900,17.03272075,117.0085605,1178,10.56028687,73.28031788,1325,11.87808158,51.95989543,1243,11.14298521,59.4149007,83,0.744060959,21.47699254,1055,82,98,70,6.63507109,7.993243397,252,23.88625592,215.9925652,611,57.91469194,1056.960062,122,11.56398104,2551.022357,0,13.39703,52.53641,8
2476,"Brunnenstr. ","150",10115,2452,253825,46.39,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,91472077,0.193124685976948,5,20,20,0.184045446903696,20,20,0.0361062273778026,16,20,20,0.0361062273778026,20,20,0.475596185690744,3,15,20,0.100340565662132,15,20,0.771890176611653,0,1,18,7.38549406667153,1,3,3.72503734193667,0,0,2,0.871432788306093,0,1,16,3.72503734193667,0,0,2,2.55682833164721,0,0,1,"Berlin-10115",20896,0.255603554,11155,0.280375915,1.873240699,6060,54.32541461,136.1170125,2944,26.39175258,84.64451623,2151,19.28283281,66.7003043,1542,13.82339758,167.2017091,2259,20.25100852,174.1411348,3461,31.02644554,211.1527466,3059,27.42268041,131.7679371,1247,11.17884357,62.98905214,1129,10.12102196,28.81966586,43.89039776,3218,28.8480502,203.240351,2208,19.79381443,168.3256648,1900,17.03272075,117.0085605,1178,10.56028687,73.28031788,1325,11.87808158,51.95989543,1243,11.14298521,59.4149007,83,0.744060959,21.47699254,1055,82,98,70,6.63507109,7.993243397,252,23.88625592,215.9925652,611,57.91469194,1056.960062,122,11.56398104,2551.022357,0,13.39703,52.53641,9
2477,"Garten ","92",10115,2412,975000,140,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,89685248,0.0530614144200825,6,20,20,0.226261748850355,20,20,0.274246184881214,10,20,20,0.0428803114134291,20,20,0.0899439036844912,7,16,20,0.026682382658829,16,20,0.0530614144200825,1,3,17,7.01950906280992,1,3,3.1068745420385,0,0,3,0.805667380048017,0,1,18,3.1068745420385,0,0,3,2.0470581526378,0,0,1,"Berlin-10115",20896,0.255603554,11155,0.280375915,1.873240699,6060,54.32541461,136.1170125,2944,26.39175258,84.64451623,2151,19.28283281,66.7003043,1542,13.82339758,167.2017091,2259,20.25100852,174.1411348,3461,31.02644554,211.1527466,3059,27.42268041,131.7679371,1247,11.17884357,62.98905214,1129,10.12102196,28.81966586,43.89039776,3218,28.8480502,203.240351,2208,19.79381443,168.3256648,1900,17.03272075,117.0085605,1178,10.56028687,73.28031788,1325,11.87808158,51.95989543,1243,11.14298521,59.4149007,83,0.744060959,21.47699254,1055,82,98,70,6.63507109,7.993243397,252,23.88625592,215.9925652,611,57.91469194,1056.960062,122,11.56398104,2551.022357,0,13.3890821,52.5320452,10
2478,"Torstr. ","220",10115,2394,1600001,266,7,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,89229438,0.104033962725688,8,20,20,0.0559665774004838,20,20,0.0526844101465116,10,20,20,0.0148910112793552,20,20,0.148153552342698,6,18,20,0.0915353544581631,20,20,0.328324951076139,2,5,17,7.21656191702023,1,3,2.57940531603598,0,0,3,1.32584215310035,0,0,20,2.57940531603598,0,0,3,1.50487688834871,0,0,1,"Berlin-10115",20896,0.255603554,11155,0.280375915,1.873240699,6060,54.32541461,136.1170125,2944,26.39175258,84.64451623,2151,19.28283281,66.7003043,1542,13.82339758,167.2017091,2259,20.25100852,174.1411348,3461,31.02644554,211.1527466,3059,27.42268041,131.7679371,1247,11.17884357,62.98905214,1129,10.12102196,28.81966586,43.89039776,3218,28.8480502,203.240351,2208,19.79381443,168.3256648,1900,17.03272075,117.0085605,1178,10.56028687,73.28031788,1325,11.87808158,51.95989543,1243,11.14298521,59.4149007,83,0.744060959,21.47699254,1055,82,98,70,6.63507109,7.993243397,252,23.88625592,215.9925652,611,57.91469194,1056.960062,122,11.56398104,2551.022357,0,13.38892,52.52721,11
2482,"Tieckstr. ","5",10115,2448,869900,107,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,89771653,0.196133452268473,9,20,20,0.0487509928371917,20,20,0.117540297176005,9,20,20,0.0617542703699356,20,20,0.108810751479822,6,18,20,0.10301286154197,20,20,0.323169398002685,1,4,17,7.03193116777684,1,3,2.74865844047318,0,0,4,1.10355127839624,0,0,19,2.74865844047318,0,0,4,1.72173089091484,0,0,1,"Berlin-10115",20896,0.255603554,11155,0.280375915,1.873240699,6060,54.32541461,136.1170125,2944,26.39175258,84.64451623,2151,19.28283281,66.7003043,1542,13.82339758,167.2017091,2259,20.25100852,174.1411348,3461,31.02644554,211.1527466,3059,27.42268041,131.7679371,1247,11.17884357,62.98905214,1129,10.12102196,28.81966586,43.89039776,3218,28.8480502,203.240351,2208,19.79381443,168.3256648,1900,17.03272075,117.0085605,1178,10.56028687,73.28031788,1325,11.87808158,51.95989543,1243,11.14298521,59.4149007,83,0.744060959,21.47699254,1055,82,98,70,6.63507109,7.993243397,252,23.88625592,215.9925652,611,57.91469194,1056.960062,122,11.56398104,2551.022357,0,13.387277,52.5290571,12
2485,"Chausseestr. ","108",10115,2441,699500,92.17,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,69209354,0.0939273583715125,9,20,20,0.0534499926922375,17,20,0.204027269022572,5,19,20,0.0298756717803342,20,20,0.23231670960843,7,14,20,0.146079038023923,10,20,0.461855629549222,1,1,17,6.58140464913667,1,3,2.93628973307857,0,0,4,0.866103868298451,0,1,18,2.93628973307857,0,0,4,2.05376460334388,0,0,1,"Berlin-10115",20896,0.255603554,11155,0.280375915,1.873240699,6060,54.32541461,136.1170125,2944,26.39175258,84.64451623,2151,19.28283281,66.7003043,1542,13.82339758,167.2017091,2259,20.25100852,174.1411348,3461,31.02644554,211.1527466,3059,27.42268041,131.7679371,1247,11.17884357,62.98905214,1129,10.12102196,28.81966586,43.89039776,3218,28.8480502,203.240351,2208,19.79381443,168.3256648,1900,17.03272075,117.0085605,1178,10.56028687,73.28031788,1325,11.87808158,51.95989543,1243,11.14298521,59.4149007,83,0.744060959,21.47699254,1055,82,98,70,6.63507109,7.993243397,252,23.88625592,215.9925652,611,57.91469194,1056.960062,122,11.56398104,2551.022357,0,13.3820072,52.5312865,13
2488,"Linienstr. ","142",10115,2422,3650000,316.18,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,87561071,0.172585999010748,7,20,20,0.0711106630087127,20,20,0.15087391882224,7,20,20,0.0437314692964137,20,20,0.270829715805246,3,17,20,0.0527564857479828,20,20,0.21091808181459,2,7,17,7.33828043201447,1,3,2.54714547468417,0,0,3,1.41644316005782,0,0,21,2.54714547468417,0,0,3,1.43158372519882,0,0,1,"Berlin-10115",20896,0.255603554,11155,0.280375915,1.873240699,6060,54.32541461,136.1170125,2944,26.39175258,84.64451623,2151,19.28283281,66.7003043,1542,13.82339758,167.2017091,2259,20.25100852,174.1411348,3461,31.02644554,211.1527466,3059,27.42268041,131.7679371,1247,11.17884357,62.98905214,1129,10.12102196,28.81966586,43.89039776,3218,28.8480502,203.240351,2208,19.79381443,168.3256648,1900,17.03272075,117.0085605,1178,10.56028687,73.28031788,1325,11.87808158,51.95989543,1243,11.14298521,59.4149007,83,0.744060959,21.47699254,1055,82,98,70,6.63507109,7.993243397,252,23.88625592,215.9925652,611,57.91469194,1056.960062,122,11.56398104,2551.022357,0,13.39044,52.5266,14
2490,"Brunnenstr. ","149",10115,2400,919800,146,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,90375834,0.174045943978578,5,20,20,0.188466761049408,20,20,0.0183690955296052,16,20,20,0.0183690955296052,20,20,0.469012357225851,1,15,20,0.0748456087561358,14,20,0.763274817651517,0,1,18,7.35913492197304,1,3,3.72961637826375,0,0,2,0.844776583592174,0,1,16,3.72961637826375,0,0,2,2.56648391714981,0,0,1,"Berlin-10115",20896,0.255603554,11155,0.280375915,1.873240699,6060,54.32541461,136.1170125,2944,26.39175258,84.64451623,2151,19.28283281,66.7003043,1542,13.82339758,167.2017091,2259,20.25100852,174.1411348,3461,31.02644554,211.1527466,3059,27.42268041,131.7679371,1247,11.17884357,62.98905214,1129,10.12102196,28.81966586,43.89039776,3218,28.8480502,203.240351,2208,19.79381443,168.3256648,1900,17.03272075,117.0085605,1178,10.56028687,73.28031788,1325,11.87808158,51.95989543,1243,11.14298521,59.4149007,83,0.744060959,21.47699254,1055,82,98,70,6.63507109,7.993243397,252,23.88625592,215.9925652,611,57.91469194,1056.960062,122,11.56398104,2551.022357,0,13.3966809,52.5365321,15
2493,"Bergstr. ","70",10115,2403,420000,70,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,90776756,0.167556934975828,5,20,20,0.134869185237717,20,20,0.111699840984838,14,20,20,0.0459243780239566,20,20,0.14286371757196,9,18,20,0.140973554825014,20,20,0.351660233333116,1,3,17,7.33327799194708,1,3,3.0897575683395,0,0,2,1.03971605169072,0,0,18,3.0897575683395,0,0,2,1.94299554384396,0,0,1,"Berlin-10115",20896,0.255603554,11155,0.280375915,1.873240699,6060,54.32541461,136.1170125,2944,26.39175258,84.64451623,2151,19.28283281,66.7003043,1542,13.82339758,167.2017091,2259,20.25100852,174.1411348,3461,31.02644554,211.1527466,3059,27.42268041,131.7679371,1247,11.17884357,62.98905214,1129,10.12102196,28.81966586,43.89039776,3218,28.8480502,203.240351,2208,19.79381443,168.3256648,1900,17.03272075,117.0085605,1178,10.56028687,73.28031788,1325,11.87808158,51.95989543,1243,11.14298521,59.4149007,83,0.744060959,21.47699254,1055,82,98,70,6.63507109,7.993243397,252,23.88625592,215.9925652,611,57.91469194,1056.960062,122,11.56398104,2551.022357,0,13.3943575,52.5313603,16
